"Longitude","Latitude","year","Tested","uniq_id_publication","n","Present"
-16.6409,13.2748,2012,78,903,1,70
-16.6409,13.2748,2013,125,903,1,103
-16.6409,13.2748,2014,67,903,1,60
-16.6409,13.2748,2015,101,903,1,87
-16.6409,13.2748,2017,40,1306,1,33
-16.5775,13.4531,1999,98,26,1,49
-16.4167,13.7167,1990,23,114,1,3
-16.4167,13.7167,1991,30,114,1,7
-16.4167,13.7167,1992,29,114,1,5
-16.4167,13.7167,1993,37,114,1,3
-16.4167,13.7167,1994,32,114,1,3
-16.4167,13.7167,1995,35,114,1,15
-16.4167,13.7167,1996,44,114,1,18
-16.4167,13.7167,1997,24,114,1,8
-16.4167,13.7167,1998,51,114,1,15
-16.4167,13.7167,1999,19,114,1,10
-16.2341,14.658,2018,181,1117,1,86
-16.2341,14.658,2019,85,1117,1,17
-16.2341,14.658,2020,91,1117,1,20
-16.0833,11.25,2018,14,1382,1,4
-16.0762,14.1608,2020,88,1117,1,50
-15.6178,11.8817,2003,318,383,1,75
-15.6178,11.8817,2004,151,383,1,37
-15.6178,11.8817,2005,169,383,1,39
-15.6178,11.8817,2006,88,383,1,20
-15.6178,11.8817,2007,40,383,1,10
-15.6178,11.8817,2008,134,383,1,42
-15.6178,11.8817,2010,296,383,1,141
-15.6178,11.8817,2011,345,383,1,195
-15.6178,11.8817,2012,121,383,1,41
-15.6178,11.8817,2014,30,775,1,13
-15.6178,11.8817,2015,317,567,1,166
-15.6072,13.575,1998,98,150,1,49
-15.6072,13.575,1999,71,150,1,37
-15.6072,13.575,2000,82,150,1,52
-15.6072,13.575,2000,89,54,1,55
-15.6072,13.575,2001,88,150,1,64
-15.6072,13.575,2002,86,150,1,47
-15.6072,13.575,2002,141,76,1,90
-15.6,11.8667,2002,50,354,1,16
-15.6,11.8667,2002,478,131,1,111
-15.6,11.8667,2004,153,202,1,40
-15.6,11.8667,2005,167,202,1,40
-15.6,11.8667,2006,113,202,1,32
-15.6,11.8667,2007,104,202,1,30
-15.6,11.8667,2007,376,250,1,109
-15.5958,11.8511,2003,320,202,1,77
-15.5946,11.8503,2014,30,775,1,13
-15.5386,11.9608,1992,31,127,1,10
-15.5386,11.9608,1993,18,127,1,4
-15.5386,11.9608,1995,50,127,1,14
-15.5386,11.9608,2004,93,127,1,35
-15.5386,11.9608,2005,23,127,1,3
-14.9422,12.9004,2019,188,1117,1,114
-14.9422,12.9004,2020,88,1117,1,53
-13.7916,9.60222,2014,10,911,1,3
-13.7916,9.60222,2014,33,423,1,11
-13.6672,13.7689,2010,81,302,1,28
-13.6672,13.7689,2011,83,302,1,24
-13.5784,9.64119,2017,45,1375,1,8
-13.5784,9.64119,2017,48,768,1,9
-13.5784,9.64119,2018,49,1292,1,32
-13.2952,9.55553,2012,168,1355,1,128
-13.2937,8.45456,2014,25,423,1,14
-13.2344,8.48444,2017,11,768,1,8
-12.1833,12.55,2021,13,1450,1,6
-12.1833,12.55,2021,27,1450,1,12
-12.1833,12.55,2022,11,1450,1,3
-12.1833,12.55,2023,20,1450,1,11
-12.1782,12.5659,2015,77,1117,1,14
-12.1782,12.5659,2016,91,1117,1,9
-12.1782,12.5659,2017,78,1117,1,25
-12.1782,12.5659,2018,197,1117,1,61
-12.1782,12.5659,2019,88,1117,1,26
-12.1782,12.5659,2020,81,1117,1,29
-11.7383,7.96472,2018,63,1377,1,14
-10.8346,13.8093,2014,57,572,1,51
-10.8046,6.29582,2012,23,423,1,22
-10.8014,6.31333,1980,50,354,1,0
-10.8014,6.31333,2012,14,625,1,13
-10.8014,6.31333,2014,15,1250,1,14
-10.1636,16.3915,2010,87,564,1,54
-9.62316,16.6587,2010,56,564,1,44
-9.58389,15.2247,2016,53,766,1,24
-9.58389,15.2247,2016,109,1017,1,50
-9.5451,16.6912,1998,85,24,1,56
-9.4895,13.0341,2014,48,572,1,44
-9.41323,15.8175,2010,137,564,1,95
-8.7674,6.74875,2008,294,504,1,275
-8.6135,7.6866,1978,39,561,1,0
-8.45,11.8833,2002,579,254,1,384
-8.3449,13.1334,2010,88,1339,1,70
-8.33048,12.1151,2016,89,1017,1,43
-8.31791,12.1977,2002,127,183,1,108
-8.31791,12.1977,2004,172,183,1,111
-8.31791,12.1977,2007,47,1017,1,27
-8.31791,12.1977,2010,77,1339,1,65
-8.2483,11.642,2016,26,1334,1,22
-8.20697,12.1509,2016,166,1017,1,83
-8.20697,12.1509,2016,185,766,1,119
-8.1356,12.6129,2012,162,1017,1,104
-8.1356,12.6129,2014,66,612,1,40
-8.1356,12.6129,2014,170,558,2,130
-8,12.65,1997,17,6,1,8
-8,12.65,1998,1326,1153,1,803
-8,12.65,2002,951,212,1,804
-8,12.65,2005,45,1178,1,34
-8,12.65,2005,50,1178,1,39
-8,12.65,2006,17,232,1,10
-7.90835,11.9967,2014,87,803,2,62
-7.70094,4.37597,2000,23,28,1,23
-7.4831,11.42,2014,74,1302,1,55
-7.4831,11.42,2016,60,1302,1,46
-6.94731,12.7872,2006,16,331,1,11
-6.91667,10.7833,2003,170,156,2,128
