"id","site_name","lon","lat","country_id","vivax_id","district"
"807","Butembo","29.3018","0.114047","52","null","null"
"808","Punia","26.4518","-1.46372","52","null","null"
"809","Ninh Thuan","108.736","11.5147","242","null","null"
"810","BGM, Binh Phuoc","107.1","12.09","242","null","null"
"811","Phuoc Ha, Thuan Nam, Ninh Thuan","108.736","11.5147","242","null","null"
"812","VQG, BGM, Binh Phuoc","107.24","12.11","242","null","null"
"813","D, Binh Phuoc","107.06","12.04","242","null","null"
"814","DakLak Provincial MCC, Dak Lak","108.04","12.6724","242","null","null"
"815","Ea Le HC, Dak Lak","107.884","13.0707","242","null","null"
"816","Cu Kbang HC, Dak Lak","107.901","13.1699","242","null","null"
"817","Cu Knia HC, Dak Nong","107.799","12.5943","242","null","null"
"818","Dak Drong HC, Dak Nong","107.808","12.6323","242","null","null"
"819","Son Thai HC, Khanh Hoa","108.811","12.2523","242","null","null"
"820","Ma Noi HC, Ninh Thuan","108.694","11.6572","242","null","null"
"821","Phuoc Chien HC, Ninh Thuan","109.053","11.8286","242","null","null"
"822","Phuoc Thang HC, Ninh Thuan","108.981","11.861","242","null","null"
"823","Gia Lai Provincial MCC, Gia Lai","107.996","13.9819","242","null","null"
"824","Dak Pling HC, Gia Lai","108.779","13.6528","242","null","null"
"825","So Ro HC, Gia Lai","108.576","13.7018","242","null","null"
"826","Khong DH, Khong, Champasak","105.853","14.1177","122","null","null"
"827","Phonsa arth HC, Khong, Champasak","105.917","14.2925","122","null","null"
"828","Mounlapamok DH, Mounlapamok, Champasak","105.854","14.3675","122","null","null"
"829","Nong nga HC, Mounlapamok, Champasak","105.512","14.3709","122","null","null"
"830","Nafang HC, Khong, Champasak","105.867","14.4833","122","null","null"
"831","Nadee HC, Mounlapamok, Champasak","105.684","14.5904","122","null","null"
"832","Sanamxay DH, Sanamxay, Attapeu","106.582","14.68","122","null","null"
"833","Phouhome HC, Phouvong, Attapeu","106.801","14.6854","122","null","null"
"834","Palai HC, Pathoumphone, Champasak","106.136","14.7012","122","null","null"
"835","Palai HC, Pathoumphone, Champasak","106.136","14.7012","122","null","null"
"836","Phapho HC, Pathoumphone, Champasak","106.086","14.7312","122","null","null"
"837","Somsouk HC, Sanamxay, Attapeu","106.67","14.7418","122","null","null"
"838","Phouvong DH, Phouvong, Attapeu","106.955","14.7489","122","null","null"
"839","Sanod HC, Pathoumphone, Champasak","105.931","14.7878","122","null","null"
"840","Pathoumphone DH, Pathoumphone, Champasak","105.948","14.8411","122","null","null"
"841","Keng Yai HC, Xaysetha, Attapeu","106.837","15.0614","122","null","null"
"842","Paksong DH, Paksong, Champasak","106.234","15.1774","122","null","null"
"843","Thateng DH, Thateng, Sekong","106.38","15.4286","122","null","null"
"844","Tabeng HC, Toomlarn, Salavan","106.041","15.5723","122","null","null"
"845","Vapy DH, Vapy, Salavan","106.069","15.6886","122","null","null"
"846","Salavan PH, Salavan, Salavan","106.424","15.7205","122","null","null"
"847","Toomlarn DH, Toomlarn, Salavan","106.194","15.9926","122","null","null"
"848","Thapanthong DH, Thapanthong, Savannakhet","105.745","15.9936","122","null","null"
"849","Xekeu HC, Thapanthong, Savannakhet","106.054","16.0433","122","null","null"
"850","Ta Oy DH, Ta Oy, Salavan","106.621","16.0777","122","null","null"
"851","Phoutang HC, Ta Oy, Salavan","106.706","16.2676","122","null","null"
"852","Nong DH, Nong, Savannakhet","106.497","16.3773","122","null","null"
"853","Dongnasan HC, Nong, Savannakhet","106.614","16.4448","122","null","null"
"854","Nakong HC, Nong, Savannakhet","106.487","16.4983","122","null","null"
"855","Nakong HC, Nong, Savannakhet","106.487","16.4983","122","null","null"
"856","Phine DH, Phine, Savannakhet","106.022","16.5343","122","null","null"
"857","Savannakhet PH, Savannakhet, Savannakhet","104.747","16.5506","122","null","null"
"858","Nathong HC, Phine, Savannakhet","105.785","16.6092","122","null","null"
"859","Sepone DH, Sepone, Savannakhet","106.207","16.7003","122","null","null"
"860","Nachantai HC, Phalanxay, Savannakhet","105.467","16.8359","122","null","null"
"861","Chang Wat Mae Hong Son, Amphoe Mae Sariang","97.6299","18.0331","221","null","null"
"862","Chang Wat Tak, Amphoe Mae Ramat","98.405","16.926","221","null","null"
"863","Mae Tao, Mae Sot","98.5345","16.7191","221","null","null"
"864","Tak, Amphoe Tha Song Yang","98.0726","17.2612","221","null","null"
"865","Tak, Amphoe Umphang","98.5517","15.8004","221","null","null"
"866","Kayin State, Hpa-An","97.6106","17.7286","153","null","null"
"867","Kayin State, Kawkareik","98.2443","16.4997","153","null","null"
"868","Sanod HC, Pathounphone, Champasak","105.941","14.7878","122","null","null"
"869","San","-4.89875","13.2944","137","null","null"
"870","Paramaribou","-55.2038","5.85204","212","null","null"
"871","Narino, Cordoba, Guaviare","-77.3579","1.28915","49","null","null"
"872","Panama City","-79.5199","8.98238","171","null","null"
"873","Kuna Yala","-78.1926","9.23444","171","null","null"
"874","Darien","-77.8367","7.86817","171","null","null"
"875","Buenaventura","-77.0197","3.88305","49","null","null"
"876","Karamoja","34.1532","2.83087","232","null","null"
"877","Makindye","32.5853","0.278169","232","null","null"
"878","Calabar","8.3417","4.97572","162","null","null"
"879","Montepuez","38.9981","-13.134","152","null","null"
"880","Chokwe","32.9832","-24.5323","152","null","null"
"881","Terre Noire","-72.7356","19.0392","96","null","null"
"882","Chabin","-72.584","18.2998","96","null","null"
"883","Hinche","-72.0142","19.1412","96","null","null"
"884","North Cap Haitian","-72.2068","19.737","96","null","null"
"885","Nippes","-73.418","18.3991","96","null","null"
"886","Leogane","-72.624","18.5128","96","null","null"
"887","Jacmel","-72.5264","18.243","96","null","null"
"888","Sandan, Kampong","105.313","13.1693","38","null","null"
"889","Stung Treng","106.06","13.9052","38","null","null"
"890","null","21.7587","-4.03833","52","null","null"
"891","Anjouan","44.4371","-12.2138","50","null","null"
"892","Moheli","43.7334","-12.3377","50","null","null"
"893","Mayotte","45.1662","-12.8275","50","null","null"
"894","Trat","102.517","12.2428","221","null","null"
"895","Prachuab Khirikhan","99.7958","11.7938","221","null","null"
"896","Chanthaburi","102.104","12.6112","221","null","null"
"897","Phang Nga","98.5255","8.45014","221","null","null"
"898","Homemalin","94.9299","24.8883","153","null","null"
"899","Hpruso","97.1438","19.4241","153","null","null"
"900","Khammouanne","105.219","17.6384","122","null","null"
"901","Guadalcanal Island","160.146","-9.57733","204","null","null"
"902","Acre","-70.812","-9.0238","32","null","null"
"903","Algiers","3.05876","36.7538","4","null","null"
"904","Sotuba","-7.91435","12.6632","137","null","null"
"905","Sisaket","104.322","15.1186","221","null","null"
"906","Yala","101.28","6.5411","221","null","null"
"907","Ratchaburi","99.8134","13.5283","221","null","null"
"908","Montepuez","38.9981","-13.134","152","null","null"
"909","Moatize","33.7238","-16.1171","152","null","null"
"910","Dondo","34.7409","-19.6115","152","null","null"
"911","Chokwe","32.9832","-24.5323","152","null","null"
"912","Hpa Pun","97.4408","18.0618","153","null","null"
"913","Choco","-76.826","5.2528","49","null","null"
"914","Narino","-77.3579","1.28915","49","null","null"
"915","Antioquia","-75.3412","7.19861","49","null","null"
"916","Cordoba","-75.5741","8.04929","49","null","null"
"917","Kravanh","103.769","12.3539","38","null","null"
"918","Magway","94.9455","20.1544","153","null","null"
"919","Myawaddy","98.5007","16.6843","153","null","null"
"920","Thanbyuzayat","97.7525","15.9597","153","null","null"
"921","Kawthaung","98.5529","9.99581","153","null","null"
"922","Maputo","32.6051","-25.892","152","null","null"
"923","Nagongera","34.0147","0.77578","232","null","null"
"924","Walukuba","33.2315","0.442926","232","null","null"
"925","Kihihi","29.7","-0.75","232","null","null"
"926","Lunglei, Mizoram","92.7655","22.8671","103","null","null"
"927","Gomati, Tripura","91.6372","23.5167","103","null","null"
"928","Chey Saen","105.36","13.5706","38","null","null"
"929","Djougou","1.66635","9.70809","24","null","null"
"930","Lome","1.23136","6.1725","223","null","null"
"931","Sokode","1.1449","8.97798","223","null","null"
"932","Niamtougou","1.11612","9.74375","223","null","null"
"933","Oddar Meanchey","103.636","14.1717","38","null","null"
"934","Kratie","106.029","12.4897","38","null","null"
"935","Kampot","104.164","10.5942","38","null","null"
"936","Kampong Som","103.523","10.6253","38","null","null"
"937","Thapangthong","105.775","16.1151","122","null","null"
"938","Mai Phosi","105.643","16.636","122","null","null"
"939","Bouttaphan","104.1","20.3254","122","null","null"
"940","Phouphanang","102.508","17.9837","122","null","null"
"941","Nalao","102.562","18.8786","122","null","null"
"942","Kengkhai","102.637","18.1502","122","null","null"
"943","Kaysone","104.771","16.5722","122","null","null"
"944","Lama","92.263","21.7937","19","null","null"
"945","Ramu","92.1008","21.4324","19","null","null"
"946","Durgapur","90.6749","25.1133","19","null","null"
"947","Haluaghat","90.356","25.1173","19","null","null"
"948","Matiranga","91.8733","23.0408","19","null","null"
"949","Rajasthali","92.2827","22.3893","19","null","null"
"950","Sreemangal","91.6955","24.301","19","null","null"
"951","Abidjan","-4.00826","5.35995","55","null","null"
"952","Brikama","-16.6409","13.2748","81","null","null"
"953","Hpa-An, Kayin","97.1504","18.3648","153","null","null"
"954","Hpa-An, Kayin","97.2195","17.8381","153","null","null"
"955","Hpa-An, Kayin","97.2256","18.6118","153","null","null"
"956","Hpa-An, Kayin","97.2269","17.7101","153","null","null"
