"id","basic_id","mixed_incl","present","present_quantity_unknown","tested","marker_type_id","site_id","site_id2","start_year","end_year","k13_id"
"142563","null","false","37","null","39","6","7037","null","2016","2016","null"
"142564","null","false","28","null","39","7","7037","null","2016","2016","null"
"142565","null","false","38","null","39","1","7037","null","2016","2016","null"
"142566","null","false","0","null","39","3","7037","null","2016","2016","null"
"142567","null","false","7","null","39","9","7037","null","2016","2016","null"
"142568","null","false","37","null","39","10","7037","null","2016","2016","null"
"142569","null","false","5","null","39","11","7037","null","2016","2016","null"
"142570","null","false","1","null","39","12","7037","null","2016","2016","null"
"142571","null","false","27","null","39","89","7037","null","2016","2016","null"
"142572","null","false","38","null","39","141","7037","null","2016","2016","null"
"142573","null","false","25","null","39","161","7037","null","2016","2016","null"
"142574","null","false","41","null","39","134","7037","null","2016","2016","null"
"142575","null","true","5","null","19","56","7038","null","2017","2017","null"
"142576","null","true","5","null","19","59","7038","null","2017","2017","null"
"142577","null","true","5","null","19","65","7038","null","2017","2017","null"
"142578","null","false","0","null","19","55","7038","null","2017","2017","null"
"142579","null","true","1","null","18","125","7038","null","2017","2017","null"
"142580","null","true","7","null","18","116","7038","null","2017","2017","null"
"142581","null","true","0","null","18","111","7038","null","2017","2017","null"
"142582","null","true","17","null","18","6","7038","null","2017","2017","null"
"142583","null","true","12","null","18","7","7038","null","2017","2017","null"
"142584","null","true","17","null","18","1","7038","null","2017","2017","null"
"142585","null","true","0","null","18","3","7038","null","2017","2017","null"
"142586","null","true","1","null","18","9","7038","null","2017","2017","null"
"142587","null","true","16","null","18","10","7038","null","2017","2017","null"
"142588","null","true","3","null","18","11","7038","null","2017","2017","null"
"142589","null","true","0","null","18","12","7038","null","2017","2017","null"
"142590","null","false","17","null","18","141","7038","null","2017","2017","null"
"142591","null","false","11","null","18","161","7038","null","2017","2017","null"
"142592","null","false","18","null","18","134","7038","null","2017","2017","null"
"142593","null","false","14","null","19","89","7038","null","2017","2017","null"
"142594","null","false","111","null","160","80","7039","null","2012","2017","null"
"142595","null","false","43","null","160","72","7039","null","2012","2017","null"
"142596","null","false","6","null","160","74","7039","null","2012","2017","null"
"142597","null","false","97","null","162","156","7039","null","2012","2017","null"
"142598","null","false","15","null","162","170","7039","null","2012","2017","null"
"142599","null","false","45","null","162","150","7039","null","2012","2017","null"
"142600","null","false","4","null","162","165","7039","null","2012","2017","null"
"142601","null","false","1","null","162","151","7039","null","2012","2017","null"
"142656","2572","false","137","false","171","141","806","null","2011","2011","null"
"142657","2573","false","171","false","171","134","806","null","2011","2011","null"
"142658","2571","false","28","false","171","124","806","null","2011","2011","null"
"142659","2574","false","0","false","171","101","806","null","2011","2011","null"
"142660","2565","false","171","false","171","160","806","null","2011","2011","null"
"142661","2576","false","0","false","171","103","806","null","2011","2011","null"
"142662","2584","false","171","false","171","126","806","null","2011","2011","null"
"142663","2563","false","171","false","171","65","806","null","2011","2011","null"
"142664","2562","false","171","false","171","99","806","null","2011","2011","null"
"142665","2564","false","6","false","171","125","806","null","2011","2011","null"
"142666","2566","false","165","false","171","104","806","null","2011","2011","null"
"142667","2567","false","6","false","171","140","806","null","2011","2011","null"
"142668","2575","false","0","false","171","111","806","null","2011","2011","null"
"142669","5984","false","0","false","171","132","806","null","2011","2011","null"
"142670","null","true","7","null","171","185","806","null","2011","2011","null"
"142671","null","true","14","null","171","186","806","null","2011","2011","null"
"142672","null","true","157","null","171","187","806","null","2011","2011","null"
"142673","null","true","81","null","171","190","806","null","2011","2011","null"
"142674","null","false","103","null","171","10","806","null","2011","2011","null"
"142675","null","false","3","null","171","180","806","null","2011","2011","null"
"142676","null","false","6","null","171","11","806","null","2011","2011","null"
"142677","null","false","131","null","171","181","806","null","2011","2011","null"
"142678","null","false","5","null","171","12","806","null","2011","2011","null"
"142679","null","false","66","null","171","182","806","null","2011","2011","null"
"142680","null","true","21","null","171","6","806","null","2011","2011","null"
"142681","null","true","164","null","171","7","806","null","2011","2011","null"
"142682","null","false","171","null","171","1","806","null","2011","2011","null"
"142768","null","false","80","null","81","141","6833","null","2016","2016","null"
"142769","null","false","0","null","81","125","6833","null","2016","2016","null"
"142770","null","false","1","null","81","124","6833","null","2016","2016","null"
"142771","null","false","38","null","81","161","6833","null","2016","2016","null"
"142772","null","false","17","null","81","116","6833","null","2016","2016","null"
"142773","null","false","26","null","81","117","6833","null","2016","2016","null"
"142774","null","false","70","null","70","134","6833","null","2016","2016","null"
"142775","null","false","0","null","70","111","6833","null","2016","2016","null"
"142776","null","false","0","null","70","109","6833","null","2016","2016","null"
"142777","null","false","0","null","86","9","6833","null","2016","2016","null"
"142778","null","false","82","null","87","10","6833","null","2016","2016","null"
"142779","null","false","84","null","87","11","6833","null","2016","2016","null"
"142780","null","false","0","null","87","12","6833","null","2016","2016","null"
"142781","null","false","2","null","87","180","6833","null","2016","2016","null"
"142782","null","false","1","null","87","181","6833","null","2016","2016","null"
"142783","null","false","0","null","87","182","6833","null","2016","2016","null"
"142784","null","false","0","null","87","13","6833","null","2016","2016","null"
"142785","null","false","0","null","87","183","6833","null","2016","2016","null"
"142786","null","false","1","null","95","5","6833","null","2016","2016","null"
"142787","null","false","0","null","95","174","6833","null","2016","2016","null"
"142788","null","false","95","null","95","6","6833","null","2016","2016","null"
"142789","null","false","0","null","95","175","6833","null","2016","2016","null"
"142790","null","false","31","null","95","7","6833","null","2016","2016","null"
"142791","null","false","61","null","95","176","6833","null","2016","2016","null"
"142792","null","false","95","null","95","1","6833","null","2016","2016","null"
